Asia/Bangkok,Open,High,Low,Close,Volume
2026-07-24T18:25:00+07:00,4061.275,4061.505,4060.495,4060.535,9120
2026-07-24T18:26:00+07:00,4060.445,4060.475,4059.025,4059.145,9240
2026-07-24T18:27:00+07:00,4059.195,4059.645,4059.065,4059.405,12660
2026-07-24T18:28:00+07:00,4059.405,4059.965,4059.345,4059.615,8100
2026-07-24T18:29:00+07:00,4059.605,4059.605,4058.955,4058.995,5460
2026-07-24T18:30:00+07:00,4058.955,4059.345,4057.855,4058.495,14100
2026-07-24T18:31:00+07:00,4058.635,4059.215,4057.995,4058.555,15600
2026-07-24T18:32:00+07:00,4058.585,4060.105,4058.425,4059.935,14220
2026-07-24T18:33:00+07:00,4059.995,4060.245,4059.345,4059.635,11880
2026-07-24T18:34:00+07:00,4059.515,4060.215,4059.385,4059.615,15180
2026-07-24T18:35:00+07:00,4059.585,4059.755,4058.135,4058.265,14880
2026-07-24T18:36:00+07:00,4058.305,4059.805,4058.275,4059.725,17340
2026-07-24T18:37:00+07:00,4059.785,4059.785,4058.065,4058.265,14460
2026-07-24T18:38:00+07:00,4058.225,4058.505,4057.385,4057.525,13560
2026-07-24T18:39:00+07:00,4057.535,4057.615,4056.565,4056.965,13680
2026-07-24T18:40:00+07:00,4057.005,4057.155,4056.355,4056.845,15360
2026-07-24T18:41:00+07:00,4056.965,4057.735,4056.715,4057.045,13260
2026-07-24T18:42:00+07:00,4057.025,4057.095,4056.125,4056.315,10980
2026-07-24T18:43:00+07:00,4056.255,4056.575,4055.455,4055.555,12480
2026-07-24T18:44:00+07:00,4055.575,4056.005,4055.085,4055.125,11340
2026-07-24T18:45:00+07:00,4055.225,4056.585,4055.225,4056.425,15720
2026-07-24T18:46:00+07:00,4056.305,4056.605,4055.295,4055.395,13680
2026-07-24T18:47:00+07:00,4055.435,4055.495,4055.025,4055.225,14100
2026-07-24T18:48:00+07:00,4055.215,4055.465,4053.715,4054.125,12360
2026-07-24T18:49:00+07:00,4054.145,4055.075,4053.935,4055.045,14160
2026-07-24T18:50:00+07:00,4055.015,4055.065,4053.495,4054.265,14040
2026-07-24T18:51:00+07:00,4054.415,4054.455,4053.995,4054.115,8700
2026-07-24T18:52:00+07:00,4054.115,4054.115,4053.065,4053.325,11580
2026-07-24T18:53:00+07:00,4053.365,4053.385,4052.645,4052.725,8820
2026-07-24T18:54:00+07:00,4052.745,4052.985,4052.395,4052.505,10740
2026-07-24T18:55:00+07:00,4052.475,4052.795,4052.055,4052.475,11880
2026-07-24T18:56:00+07:00,4052.535,4052.945,4051.745,4051.815,11820
2026-07-24T18:57:00+07:00,4051.815,4052.065,4051.265,4051.345,18840
2026-07-24T18:58:00+07:00,4051.285,4057.945,4051.195,4057.535,31350
2026-07-24T18:59:00+07:00,4057.535,4061.455,4056.975,4057.545,46920
2026-07-24T19:00:00+07:00,4057.665,4058.355,4055.605,4056.925,43980
2026-07-24T19:01:00+07:00,4056.925,4056.925,4053.665,4053.735,30240
2026-07-24T19:02:00+07:00,4053.775,4054.225,4052.155,4053.075,21870
2026-07-24T19:03:00+07:00,4053.095,4054.485,4053.095,4054.215,19740
2026-07-24T19:04:00+07:00,4054.215,4054.985,4053.365,4053.925,23460
2026-07-24T19:05:00+07:00,4053.875,4053.945,4052.475,4053.865,20400
2026-07-24T19:06:00+07:00,4053.905,4055.315,4053.715,4054.665,24420
2026-07-24T19:07:00+07:00,4054.705,4055.785,4054.355,4055.685,21360
2026-07-24T19:08:00+07:00,4055.605,4056.155,4054.855,4056.155,20820
2026-07-24T19:09:00+07:00,4056.025,4058.315,4056.025,4056.805,23700
2026-07-24T19:10:00+07:00,4056.805,4056.805,4055.435,4055.935,16680
2026-07-24T19:11:00+07:00,4055.935,4057.245,4055.935,4056.065,17640
2026-07-24T19:12:00+07:00,4056.065,4056.915,4055.865,4055.975,17460
2026-07-24T19:13:00+07:00,4056.005,4056.235,4055.435,4055.575,13260
2026-07-24T19:14:00+07:00,4055.605,4056.985,4055.535,4056.405,18360
2026-07-24T19:15:00+07:00,4056.405,4056.795,4055.525,4056.115,20520
2026-07-24T19:16:00+07:00,4056.165,4057.545,4055.865,4057.085,19260
2026-07-24T19:17:00+07:00,4057.105,4057.205,4056.095,4056.675,13440
2026-07-24T19:18:00+07:00,4056.655,4057.355,4056.475,4056.755,15180
2026-07-24T19:19:00+07:00,4056.735,4057.325,4055.675,4056.695,19440
2026-07-24T19:20:00+07:00,4056.255,4056.255,4054.965,4055.775,21900
2026-07-24T19:21:00+07:00,4055.775,4056.225,4055.365,4055.465,17100
2026-07-24T19:22:00+07:00,4055.465,4055.895,4054.645,4055.635,16140
2026-07-24T19:23:00+07:00,4055.585,4057.805,4055.525,4057.465,18720
2026-07-24T19:24:00+07:00,4057.435,4058.265,4057.025,4058.195,19200
2026-07-24T19:25:00+07:00,4058.215,4059.685,4055.725,4058.095,33630
2026-07-24T19:26:00+07:00,4058.255,4058.255,4057.305,4057.745,19500
2026-07-24T19:27:00+07:00,4057.805,4060.065,4057.805,4059.305,21960
2026-07-24T19:28:00+07:00,4059.305,4059.545,4058.135,4059.145,17700
2026-07-24T19:29:00+07:00,4059.065,4059.865,4058.565,4059.445,12660
2026-07-24T19:30:00+07:00,4059.295,4059.425,4057.205,4058.685,26460
2026-07-24T19:31:00+07:00,4058.725,4058.725,4056.415,4056.415,22020
2026-07-24T19:32:00+07:00,4056.375,4057.505,4056.125,4056.865,16140
2026-07-24T19:33:00+07:00,4056.865,4057.795,4056.345,4057.425,14820
2026-07-24T19:34:00+07:00,4057.555,4059.065,4056.945,4056.945,21540
2026-07-24T19:35:00+07:00,4057.025,4058.075,4056.295,4058.035,18180
2026-07-24T19:36:00+07:00,4057.975,4058.015,4056.205,4056.685,17940
2026-07-24T19:37:00+07:00,4056.675,4057.235,4056.415,4056.755,14460
2026-07-24T19:38:00+07:00,4056.655,4056.655,4054.875,4055.555,19740
2026-07-24T19:39:00+07:00,4055.785,4056.725,4055.365,4055.535,17700
2026-07-24T19:40:00+07:00,4055.465,4056.715,4055.465,4055.805,19860
2026-07-24T19:41:00+07:00,4055.805,4055.805,4052.865,4052.985,23760
2026-07-24T19:42:00+07:00,4052.975,4053.175,4051.875,4052.775,22140
2026-07-24T19:43:00+07:00,4052.735,4053.415,4052.405,4053.175,21180
